province_territory,municipality,source_class,canbics_class,street_view_url
pe,charlottetown,multi-use path,multi_use_path,"https://www.google.com/maps/@46.2293439,-63.1365653,3a,75y,53.83h,86.9t/data=!3m7!1e1!3m5!1sTlNMS8wuAsLuElJYDBZidg!2e0!6shttps:%2F%2Fstreetviewpixels-pa.googleapis.com%2Fv1%2Fthumbnail%3Fpanoid%3DTlNMS8wuAsLuElJYDBZidg%26cb_client%3Dmaps_sv.tactile.gps%26w%3D203%26h%3D100%26yaw%3D268.7315%26pitch%3D0%26thumbfov%3D100!7i13312!8i6656?entry=ttu"
pe,charlottetown,painted bike lane,painted_bike_lane,"https://www.google.com/maps/@46.2525575,-63.121334,3a,75y,25.22h,78.57t/data=!3m7!1e1!3m5!1s-WL4VUcyFDF7QAchoCgK_w!2e0!6shttps:%2F%2Fstreetviewpixels-pa.googleapis.com%2Fv1%2Fthumbnail%3Fpanoid%3D-WL4VUcyFDF7QAchoCgK_w%26cb_client%3Dmaps_sv.tactile.gps%26w%3D203%26h%3D100%26yaw%3D29.653164%26pitch%3D0%26thumbfov%3D100!7i13312!8i6656?entry=ttu"
bc,chilliwack,bicycle path - paved,bike_path,"https://www.google.com/maps/@49.1817275,-121.9545073,3a,45.3y,1.38h,85.67t/data=!3m6!1e1!3m4!1svdHdm8ipj4f-ToVz3NrUbg!2e0!7i16384!8i8192?entry=ttu"
bc,chilliwack,major street - shared lane,major_shared_roadway,"https://www.google.com/maps/@49.1788774,-121.9525755,3a,75y,5.77h,84.73t/data=!3m6!1e1!3m4!1sGTHUBblarRaJoPblXUvPPg!2e0!7i16384!8i8192?entry=ttu"
bc,chilliwack,major street - bicycle lane,painted_bike_lane,"https://www.google.com/maps/@49.1848939,-121.9524567,3a,75y,347.86h,86.24t/data=!3m6!1e1!3m4!1sMSBzSXrz0fVdMFAtD_Ictg!2e0!7i16384!8i8192?entry=ttu"
bc,chilliwack,neighbourhood street bikeway,shared_roadway,"https://www.google.com/maps/@49.2045959,-121.9365805,3a,75y,31.67h,82.57t/data=!3m6!1e1!3m4!1s1idSAybQ5RPAvpoKC-Wumg!2e0!7i16384!8i8192?entry=ttu"
bc,chilliwack,bicycle path - gravel,gravel_trail,"https://www.google.ca/maps/@49.0984319,-121.9869276,3a,71.6y,131.5h,80.09t/data=!3m7!1e1!3m5!1smc6PLUP0ZsmqSkzqHFDIkQ!2e0!6shttps:%2F%2Fstreetviewpixels-pa.googleapis.com%2Fv1%2Fthumbnail%3Fpanoid%3Dmc6PLUP0ZsmqSkzqHFDIkQ%26cb_client%3Dmaps_sv.tactile.gps%26w%3D203%26h%3D100%26yaw%3D209.41377%26pitch%3D0%26thumbfov%3D100!7i13312!8i6656?coh=205409&entry=ttu"
bc,coquitlam,multi-use pathway (mup),multi_use_path,"https://www.google.com/maps/@49.2568231,-122.7992317,3a,75y,354.71h,85.38t/data=!3m7!1e1!3m5!1s1NgTr-tH5X1aL_zEClhhOg!2e0!6shttps:%2F%2Fstreetviewpixels-pa.googleapis.com%2Fv1%2Fthumbnail%3Fpanoid%3D1NgTr-tH5X1aL_zEClhhOg%26cb_client%3Dmaps_sv.tactile.gps%26w%3D203%26h%3D100%26yaw%3D97.371605%26pitch%3D0%26thumbfov%3D100!7i16384!8i8192?entry=ttu"
bc,coquitlam,bike lane,painted_bike_lane,"https://www.google.com/maps/@49.2562791,-122.8045377,3a,75y,183.83h,88.39t/data=!3m6!1e1!3m4!1sWzzil2m6SwnvIDWqdgA4sA!2e0!7i16384!8i8192?entry=ttu"
bc,coquitlam,shared bikeway,shared_roadway,"https://www.google.com/maps/@49.2531064,-122.8073883,3a,75y,20.23h,87.78t/data=!3m6!1e1!3m4!1s9DJm5zve6rNUO7eGmdSw8w!2e0!7i16384!8i8192?entry=ttu"
